Movie Name,Release Date,Rating,Director,Link
Hauru no ugoku shiro,2004,8.2,Hayao Miyazaki,https://www.imdb.com/title/tt0119698/?ref_=adv_li_tt
The Great Escape,1963,8.2,Hayao Miyazaki,https://www.imdb.com/title/tt0119698/?ref_=adv_li_tt
Drishyam,2013,8.2,Stanley Kubrick,https://www.imdb.com/title/tt0057012/?ref_=adv_li_tt
Tonari no Totoro,1988,8.2,Stanley Kubrick,https://www.imdb.com/title/tt0057012/?ref_=adv_li_tt
Ran,1985,8.2,Billy Wilder,https://www.imdb.com/title/tt0043014/?ref_=adv_li_tt
A Beautiful Mind,2001,8.2,Billy Wilder,https://www.imdb.com/title/tt0043014/?ref_=adv_li_tt
All About Eve,1950,8.2,Chan-wook Park,https://www.imdb.com/title/tt0364569/?ref_=adv_li_tt
Pan's Labyrinth,2006,8.2,Chan-wook Park,https://www.imdb.com/title/tt0364569/?ref_=adv_li_tt
Casino,1995,8.2,Billy Wilder,https://www.imdb.com/title/tt0051201/?ref_=adv_li_tt
Idi i smotri,1985,8.2,Billy Wilder,https://www.imdb.com/title/tt0051201/?ref_=adv_li_tt
El secreto de sus ojos,2009,8.2,Christopher Nolan,https://www.imdb.com/title/tt1345836/?ref_=adv_li_tt
"Lock, Stock and Two Smoking Barrels",1998,8.2,Christopher Nolan,https://www.imdb.com/title/tt1345836/?ref_=adv_li_tt
Raging Bull,1980,8.2,Sergio Leone,https://www.imdb.com/title/tt0087843/?ref_=adv_li_tt
Babam ve Oglum,2005,8.1,Sergio Leone,https://www.imdb.com/title/tt0087843/?ref_=adv_li_tt
The Treasure of the Sierra Madre,1948,8.1,James Cameron,https://www.imdb.com/title/tt0090605/?ref_=adv_li_tt
The Wolf of Wall Street,2013,8.1,James Cameron,https://www.imdb.com/title/tt0090605/?ref_=adv_li_tt
Judgment at Nuremberg,1961,8.1,Sam Mendes,https://www.imdb.com/title/tt0169547/?ref_=adv_li_tt
"Three Billboards Outside Ebbing, Missouri",2017,8.1,Sam Mendes,https://www.imdb.com/title/tt0169547/?ref_=adv_li_tt
Chinatown,1974,8.1,"Lee Unkrich, Adrian Molina (co-director)",https://www.imdb.com/title/tt2380307/?ref_=adv_li_tt
The Gold Rush,1925,8.1,"Lee Unkrich, Adrian Molina (co-director)",https://www.imdb.com/title/tt2380307/?ref_=adv_li_tt
Dial M for Murder,1954,8.1,Makoto Shinkai,https://www.imdb.com/title/tt5311514/?ref_=adv_li_tt
Inside Out,2015,8.1,Makoto Shinkai,https://www.imdb.com/title/tt5311514/?ref_=adv_li_tt
There Will Be Blood,2007,8.1,Mel Gibson,https://www.imdb.com/title/tt0112573/?ref_=adv_li_tt
V for Vendetta,2005,8.1,Mel Gibson,https://www.imdb.com/title/tt0112573/?ref_=adv_li_tt
Det sjunde inseglet,1957,8.1,Wolfgang Petersen,https://www.imdb.com/title/tt0082096/?ref_=adv_li_tt
Warrior,2011,8.1,Wolfgang Petersen,https://www.imdb.com/title/tt0082096/?ref_=adv_li_tt
Room,2015,8.1,Rajkumar Hirani,https://www.imdb.com/title/tt1187043/?ref_=adv_li_tt
No Country for Old Men,2007,8.1,Rajkumar Hirani,https://www.imdb.com/title/tt1187043/?ref_=adv_li_tt
